X,Y,incident_id,department,commune,incident_date,details,incident_type_id,gang_affiliations,icon_url
-72.239433,18.582996,309,West,Croix-Des-Bouquets,2025/06/13 12:13:00.523-04,b'Armed men from carrefour Marassa to Santo 17',4,,./0.png
-72.213924,18.610549,310,West,Croix-Des-Bouquets,2025/06/13 12:32:00.988-04,b'Armed men in the area',4,,./0.png
-72.336508,18.541701,311,West,Port-au-Prince,2025/06/13 12:46:00.892-04,b'Armed men in champs de Mars area',4,,./0.png
-72.103649,18.833465,312,Centre,Mirebalais,2025/06/14 11:45:00-04,,1,,./0.png
-72.33804,18.534118,313,West,Port-au-Prince,2025/06/14 11:52:00-04,,1,,./0.png
-72.101944,18.833611,314,Centre,Mirebalais,2025/06/14 12:44:00-04,b'Fighting took place across the city between gang members and law enforcement.',1,,./0.png
-72.100903,18.833417,315,Centre,Mirebalais,2025/06/14 16:42:00-04,,1,,./0.png
-72.10231,18.833618,316,Centre,Mirebalais,2025/06/14 18:29:00-04,,1,,./0.png
-72.338688,18.530144,317,West,Port-au-Prince,2025/06/15 09:46:00.669-04,,1,,./0.png
-72.338681,18.53038,318,West,Port-au-Prince,2025/06/15 12:21:00.191-04,,1,,./0.png
-72.097520828247,18.830753371357,760,Centre,Mirebalais,2025/08/14 10:35:00-04,b'Clash between gang and police helped by armed population.',1,[ 18 ],./0.png
-72.0876502990722,18.8439132011341,766,Centre,Mirebalais,2025/08/14 20:00:00-04,b'Confrontation between gang and police helped by armed population.',1,[ 18 ],./0.png
-72.3196721076965,18.5405501740724,767,West,Port-au-Prince,2025/08/14 20:40:00-04,,1,[ 18 ],./0.png
-72.285301,18.449355,778,West,Kenscoff,2025/08/16 06:29:00-04,,1,[ 18 ],./0.png
-72.285576,18.449284,780,West,Kenscoff,2025/08/16 08:21:00-04,,1,[ 18 ],./0.png
-72.311244,18.584623,792,West,Cite Soleil,2025/08/18 11:48:00.559-04,b'Clash between gang and police',1,[ 18 ],./0.png
-72.285851,18.450063,804,West,Kenscoff,2025/08/19 11:11:00.559-04,b'Clash between gang and police',1,[ 18 ],./0.png
-72.287443,18.452047,807,West,Kenscoff,2025/08/19 19:45:00.933-04,,1,[ 18 ],./0.png
-72.248849,18.580961,834,West,Tabarre,2025/08/23 18:11:00-04,b'Clash between gang and police',1,[ 18 ],./0.png
-72.101933,18.832537,837,Centre,Mirebalais,2025/08/24 11:55:00-04,b'Confrontations between armed gang and the police / self-defense group.',1,[ 18 ],./0.png
-72.16349,18.719029,842,Centre,Mirebalais,2025/08/25 07:51:00.248-04,b'Clash between gang and armed population',1,[ 18 ],./0.png
-72.100216,18.833741,849,Centre,Mirebalais,2025/08/25 20:17:00-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-72.10128,18.832976,853,Centre,Mirebalais,2025/08/26 12:22:00.730-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-72.254883,18.522362,860,West,Petion-Ville,2025/08/27 08:26:00.627-04,,1,[ 18 ],./0.png
-72.103881,18.834214,887,Centre,Mirebalais,2025/09/02 10:29:00.572-04,b'Clash between gang and police helped by armed population.',1,[ 18 ],./0.png
-72.101864,18.83393,888,Centre,Mirebalais,2025/09/02 11:29:00.045-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-72.278319,18.596709,891,West,Tabarre,2025/09/02 18:08:00.312-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-72.304866,18.583119,893,West,Tabarre,2025/09/03 09:41:00.069-04,b'clash between gang and police',1,[ 18 ],./0.png
-72.303785,18.58355,894,West,Tabarre,2025/09/03 10:49:00.482-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-72.100988,18.831728,898,Centre,Mirebalais,2025/09/04 08:35:00.112-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-72.311531,18.552549,907,West,Delmas,2025/09/05 12:23:00.363-04,b' Clash between gang and police',1,[ 18 ],./0.png
-72.293944,18.455178,923,West,Kenscoff,2025/09/08 10:36:00.758-04,b'Gang members fired on the population from the mountains',1,[ 18 ],./0.png
-72.311557,18.552229,936,West,Delmas,2025/09/09 18:36:00-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-72.293532,18.455746,964,West,Kenscoff,2025/09/13 19:47:00-04,b'Armed gang members held a party and fired into the air during the evening',4,[ 18 ],./0.png
-72.286228,18.449837,966,West,Kenscoff,2025/09/14 10:49:00.299-04,b'Clash between gang and police.',1,[ 18 ],./0.png
